fips,date,cases,deaths
08041,93,340,16
08059,93,385,9
08123,93,329,16
09001,93,2132,65
09003,93,539,13
09009,93,647,17
10003,93,245,7
11001,93,653,12
12011,93,1481,17
12031,93,286,9
12057,93,404,5
12071,93,274,10
12086,93,2885,20
12095,93,540,4
12099,93,735,27
12103,93,273,6
13067,93,341,17
13089,93,409,8
13095,93,521,30
13121,93,747,23
13135,93,303,8
15003,93,206,2
16001,93,307,3
16013,93,351,2
17031,93,5575,107
17043,93,448,14
17097,93,540,7
17197,93,384,9
18057,93,207,4
18089,93,216,7
18097,93,1306,26
21111,93,249,12
22005,93,201,7
22017,93,336,10
22033,93,325,11
22051,93,2178,73
22055,93,247,2
22071,93,3148,125
22095,93,274,14
22103,93,399,9
23005,93,204,5
24003,93,206,1
24005,93,353,1
24510,93,265,2
24031,93,498,6
24033,93,473,7
25001,93,283,3
25003,93,213,7
25005,93,424,3
25009,93,1039,19
25013,93,546,20
25017,93,1870,29
25021,93,938,22
25023,93,621,6
25025,93,1896,21
25027,93,667,14
26049,93,349,10
26099,93,1332,58
26125,93,2227,120
26161,93,438,8
26163,93,5069,194
27053,93,235,6
29189,93,712,6
29510,93,216,1
32003,93,1125,34
34003,93,4099,120
34005,93,294,8
34007,93,343,8
34013,93,2617,99
34017,93,2270,44
34021,93,386,4
34023,93,1766,48
34025,93,1458,38
34027,93,1082,40
34029,93,1371,38
34031,93,1750,22
34035,93,549,17
34039,93,2010,34
36001,93,253,2
36027,93,667,9
36029,93,734,19
36055,93,420,10
36059,93,10587,95
36067,93,301,2
36071,93,2048,30
36079,93,236,0
36087,93,3751,42
36103,93,8746,84
36111,93,243,3
36119,93,11566,67
37119,93,495,2
37183,93,234,0
39035,93,663,12
39049,93,441,5
39095,93,206,3
40109,93,216,10
41067,93,211,4
42003,93,419,2
42017,93,370,6
42029,93,210,2
42045,93,470,8
42071,93,203,4
42077,93,479,5
42079,93,384,5
42089,93,321,10
42091,93,735,9
42095,93,378,9
42101,93,1852,14
44007,93,418,3
45019,93,231,1
47037,93,785,5
47157,93,638,7
47165,93,268,7
48029,93,254,9
48085,93,207,1
48113,93,831,17
48121,93,254,5
48201,93,895,10
48439,93,325,6
48453,93,305,3
49035,93,476,1
51059,93,328,5
53033,93,2658,177
53053,93,499,7
53061,93,1375,39
53077,93,216,6
55025,93,228,3
55079,93,869,18
01073,94,369,6
04013,94,1049,17
04019,94,280,11
06001,94,464,12
06013,94,307,5
06037,94,4566,89
06059,94,711,13
06065,94,638,15
06067,94,389,10
06071,94,353,13
06073,94,1112,17
06075,94,500,7
06081,94,486,13
06085,94,1094,39
08001,94,294,9
08005,94,500,10
08031,94,716,14
08037,94,333,5
08041,94,374,18
08059,94,440,13
08123,94,379,16
09001,94,2717,76
09003,94,679,18
09009,94,891,18
10003,94,279,9
11001,94,757,15
12011,94,1598,22
12021,94,203,2
12031,94,323,9
12057,94,463,5
12071,94,303,11
12086,94,3363,25
12095,94,601,6
12097,94,201,4
12099,94,856,33
12103,94,318,7
13063,94,206,8
13067,94,422,20
13089,94,483,8
13095,94,607,30
13121,94,910,26
13135,94,353,8
15003,94,237,2
16001,94,351,3
16013,94,405,2
17031,94,6473,141
17043,94,500,16
17097,94,608,14
17197,94,455,10
18057,94,220,4
18089,94,245,8
18097,94,1431,35
21111,94,249,12
22005,94,222,7
22017,94,377,10
22033,94,389,13
22051,94,2495,85
22055,94,276,2
22071,94,3476,148
22089,94,210,11
22095,94,290,17
22103,94,435,10
23005,94,222,7
24003,94,249,4
24005,94,427,3
24510,94,313,4
24031,94,566,9
24033,94,563,9
25001,94,314,6
25003,94,240,7
25005,94,517,4
25009,94,1238,24
25013,94,661,28
25017,94,2202,39
25021,94,1045,25
25023,94,745,7
25025,94,2183,23
25027,94,825,15
26049,94,422,11
26099,94,1560,65
26125,94,2540,136
26161,94,477,8
26163,94,6096,223
27053,94,242,9
29189,94,794,7
29510,94,275,5
32003,94,1279,39
32031,94,229,4
34003,94,4866,132
34005,94,367,9
34007,94,406,8
34013,94,3067,118
34017,94,2835,59
34021,94,484,5
34023,94,2125,56
34025,94,1743,48
34027,94,1298,43
34029,94,1685,45
34031,94,2216,34
34035,94,641,23
34037,94,210,8
34039,94,2487,45
35001,94,202,7
36001,94,267,4
36027,94,809,9
36029,94,802,22
36055,94,464,14
36059,94,12024,138
36067,94,301,2
36071,94,2397,30
36079,94,236,0
36087,94,4289,42
36103,94,10154,96
36111,94,243,3
36119,94,12350,67
37119,94,564,2
37183,94,258,0
39035,94,780,13
39049,94,503,5
39061,94,220,2
39095,94,233,4
39099,94,203,12
40109,94,237,10
41067,94,228,4
42003,94,476,2
42011,94,201,1
42017,94,446,8
42029,94,226,2
42045,94,542,10
42071,94,232,5
42077,94,584,5
42079,94,484,5
42089,94,397,10
42091,94,875,11
42095,94,466,10
42101,94,2284,14
44007,94,418,7
45019,94,247,1
45079,94,224,5
47037,94,808,6
47157,94,640,7
47165,94,283,8
47187,94,221,3
48029,94,342,10
48085,94,227,2
48113,94,921,17
48121,94,273,6
48157,94,221,2
48167,94,206,0
48201,94,1036,12
48439,94,383,7
48453,94,351,3
49035,94,541,1
49043,94,222,0
51059,94,372,5
53033,94,2789,188
53053,94,578,7
53061,94,1449,41
53077,94,289,7
55025,94,244,4
55079,94,955,28
01073,95,376,9
04013,95,1171,28
04019,95,326,12
06001,95,464,12
06013,95,353,5
06029,95,205,2
06037,95,5277,117
06059,95,786,14
06065,95,665,18
06067,95,411,12
06071,95,353,13
06073,95,1209,18
06075,95,529,8
06081,95,538,13
06085,95,1148,40
06111,95,203,6
08001,95,320,9
08005,95,552,10
08031,95,769,14
08035,95,209,3
08037,95,333,5
08041,95,406,22
08059,95,483,15
08123,95,424,22
09001,95,2824,86
09003,95,726,26
09009,95,1024,29
10003,95,400,9
11001,95,902,21
12011,95,1765,32
12021,95,221,2
12031,95,387,9
12057,95,497,5
12071,95,347,11
12086,95,3889,31
12095,95,656,7
12097,95,216,4
12099,95,952,35
12103,95,342,7
13063,95,235,9
13067,95,453,23
13089,95,539,9
13095,95,685,30
13121,95,959,26
13135,95,400,8
15003,95,266,2
16001,95,385,3
16013,95,410,2
17031,95,7439,167
17043,95,590,18
17089,95,207,12
17097,95,689,14
17197,95,606,11
18057,95,265,4
18089,95,314,9
18097,95,1572,36
21111,95,294,12
22005,95,284,7
22017,95,598,10
22033,95,621,14
22051,95,3008,95
22055,95,229,4
22057,95,217,3
22071,95,3966,153
22087,95,239,8
22089,95,252,12
22095,95,338,23
22103,95,532,14
23005,95,231,7
24003,95,289,6
24005,95,491,4
24510,95,343,6
24031,95,640,9
24033,95,653,13
25001,95,330,6
25003,95,253,10
25005,95,601,5
25009,95,1400,26
25013,95,733,35
25017,95,2468,39
25021,95,1199,26
25023,95,898,8
25025,95,2429,28
25027,95,915,18
26049,95,464,15
26099,95,1838,78
26125,95,2785,142
26161,95,501,8
26163,95,6762,252
27053,95,252,9
29189,95,864,11
29510,95,287,6
32003,95,1418,41
32031,95,245,4
33011,95,231,7
33015,95,213,1
34003,95,5760,179
34005,95,469,10
34007,95,481,10
34013,95,3584,156
34015,95,215,3
34017,95,3491,78
34021,95,586,13
34023,95,2578,76
34025,95,2065,54
34027,95,1618,51
34029,95,2003,56
34031,95,2856,38
34035,95,765,24
34037,95,236,9
34039,95,2916,66
35001,95,225,7
36001,95,293,6
36027,95,938,11
36029,95,945,26
36055,95,512,17
36059,95,13346,396
36067,95,349,4
36071,95,2741,51
36079,95,283,9
36087,95,4872,69
36103,95,12328,175
36111,95,318,4
36119,95,13080,197
37119,95,635,4
37183,95,283,0
39035,95,781,13
39049,95,557,6
39061,95,288,2
39095,95,272,7
39099,95,250,13
40109,95,256,10
40143,95,221,8
41051,95,209,6
41067,95,247,4
42003,95,552,3
42011,95,235,2
42017,95,580,14
42029,95,250,2
42045,95,616,13
42071,95,291,5
42077,95,804,7
42079,95,648,5
42089,95,484,11
