"host","bytes","date","time","day"
"103.135.med.umich.edu",18149,206,6,"Tuesday"
"103.135.med.umich.edu",1204,206,6,"Tuesday"
"103.135.med.umich.edu",1173,206,6,"Tuesday"
"105.4.med.umich.edu",11175,187,7,"Thursday"
"105.4.med.umich.edu",41397,187,7,"Thursday"
"105.4.med.umich.edu",3635,187,7,"Thursday"
"105.4.med.umich.edu",4209,187,7,"Thursday"
"118.32.med.umich.edu",11836,227,13,"Tuesday"
"118.32.med.umich.edu",8083,227,13,"Tuesday"
"118.32.med.umich.edu",1713,227,13,"Tuesday"
"118.32.med.umich.edu",1173,227,13,"Tuesday"
"118.32.med.umich.edu",1204,227,13,"Tuesday"
"118.32.med.umich.edu",6168,227,13,"Tuesday"
"118.32.med.umich.edu",5052,227,13,"Tuesday"
"118.32.med.umich.edu",3635,227,13,"Tuesday"
"118.32.med.umich.edu",1932,227,13,"Tuesday"
"118.32.med.umich.edu",7131,227,13,"Tuesday"
"118.32.med.umich.edu",5866,227,13,"Tuesday"
"118.32.med.umich.edu",786,227,13,"Tuesday"
"118.32.med.umich.edu",363,227,13,"Tuesday"
"118.32.med.umich.edu",234,227,13,"Tuesday"
"118.32.med.umich.edu",669,227,13,"Tuesday"
"12-102eb.itslab.calpoly.edu",0,228,13,"Wednesday"
"12-102md.acs.calpoly.edu",786,223,15,"Friday"
"12-102md.acs.calpoly.edu",0,223,15,"Friday"
"12-102md.acs.calpoly.edu",4673,223,15,"Friday"
"12-102md.acs.calpoly.edu",786,223,15,"Friday"
"12-102md.acs.calpoly.edu",1204,223,15,"Friday"
"12-102md.acs.calpoly.edu",46053,223,15,"Friday"
"12-105da.acs.calpoly.edu",18556,229,19,"Thursday"
"12-105da.acs.calpoly.edu",3635,229,19,"Thursday"
"12-105da.acs.calpoly.edu",4209,229,19,"Thursday"
"12-105da.acs.calpoly.edu",12859,229,19,"Thursday"
"12-105da.acs.calpoly.edu",7008,229,19,"Thursday"
"12-105da.acs.calpoly.edu",13116,229,19,"Thursday"
"12-105da.acs.calpoly.edu",2537,229,19,"Thursday"
"12-105de.acs.calpoly.edu",17688,236,10,"Thursday"
"12-105de.acs.calpoly.edu",509,236,10,"Thursday"
"12-105de.acs.calpoly.edu",527,236,10,"Thursday"
"12-105de.acs.calpoly.edu",509,236,10,"Thursday"
"12-105de.acs.calpoly.edu",515,236,10,"Thursday"
"12-105he.acs.calpoly.edu",18556,229,19,"Thursday"
"12-105he.acs.calpoly.edu",12859,229,19,"Thursday"
"12-105he.acs.calpoly.edu",3635,229,19,"Thursday"
"12-105he.acs.calpoly.edu",4209,229,19,"Thursday"
"12-105id.acs.calpoly.edu",3821,226,14,"Monday"
"12-105id.acs.calpoly.edu",1204,226,14,"Monday"
"12-105id.acs.calpoly.edu",1713,226,14,"Monday"
"12-105id.acs.calpoly.edu",5494,226,14,"Monday"
"12-105id.acs.calpoly.edu",1173,226,14,"Monday"
"120.233.med.umich.edu",1157,235,11,"Wednesday"
"120.233.med.umich.edu",0,235,11,"Wednesday"
"120.233.med.umich.edu",0,235,11,"Wednesday"
