name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
nriegel.campus.vt.edu,20,20,20,20,25600000000,160,242,242,242,242,11763130845074472960,1936,234,4441,6891.375,25218,986709150458228601599819776,55131
nts170.dialup.hawaii.edu,20,20,20,20,512000000000,180,191,191,191,191,338298681559573397504,1719,9867,1414,6309.111111,25218,1429543602411825155169442594816,56782
nuc006.psc.sc.edu,8,8,8,8,16777216,64,200,200,200,200,2560000000000000000,1600,8678,8678,6356,13387,31562165207841697211955019776,50848
numenor.arlut.utexas.edu,8,8,8,8,32768,40,243,243,243,243,847288609443,1215,4970,1204,2171.6,4970,4496406690728400,10858
nuro.phy.nau.edu,10,10,10,10,100000,50,207,207,207,207,380059617807,1035,17083,1713,8538.8,21521,889423193545283584,42694
nx35.mik.uky.edu,10,10,10,10,100000000,80,228,228,228,228,7302621240492097536,1824,3260,3260,8905.25,44877,249872289952507537724744400896,71242
nyx.cs.du.edu,16,16,13.285714,19,46694400,93,240,240,232,243,35114532466176000,1624,3714,4745,16032.571429,71655,2324215334319886089263775744,112228
oahu-34.u.aloha.net,2,2,1.555556,2,32,14,192,192,192,192,354577405862133891072,1728,18114,12859,22496.888889,122880,1849764477736922689165433458093195264,202472
oahu-76.u.aloha.net,18,18,18,18,1889568,90,186,186,186,186,222620278176,930,7634,25439,64285.2,235862,0,321426
ogc631.tamu.edu,8,8,8,8,4096,32,229,229,229,229,2750058481,916,42732,42732,23595,49553,2271576478392144,94380
orion.oac.uci.edu,21,21,21,21,1801088541,147,187,187,187,187,7996339888664083,1309,786,3985,10396.285714,40310,39933198613230227782893568,72774
osip78.ionet.net,18,18,18,18,324,36,243,243,243,243,59049,486,1204,1204,1047.5,1204,1072764,2095
oucsace.cs.ohiou.edu,9,9,9,9,9,9,196,196,196,196,196,196,7071,7071,7071,7071,7071,7071
our19.tamu.edu,9,9,7.5,9,8503056,60,194,194,194,194,2006383000160502016,1552,786,4247,13202.5,46573,35037330979629188081074044928,105620
oyster.cannon.udel.edu,17,17,17,17,1419857,85,240,240,240,240,796262400000,1200,131166,1713,29402.6,131166,3730780128010729984,147013
p15-02b.enable-plaza.vt.edu,7,7,7,7,2401,28,202,202,202,202,1664966416,808,1173,3260,5946.5,18149,83559301276080,23786
p202709.src2027.uic.edu,23,23,23,23,529,46,198,198,198,198,39204,396,1204,1204,1047.5,1204,1072764,2095
p224900.sel2249.uic.edu,5,5,5,5,625,20,186,186,186,186,1196883216,744,4209,11175,15104,41397,7077823723229625,60416
p23.silicon.sentex.net,9,9,9,9,531441,54,234,234,234,234,164170508913216,1404,4745,4745,11749.333333,46053,10747982363337538142208,70496
p24.gallium.sentex.net,9,9,9,9,43046721,72,227,227,227,227,7050287992278341632,1816,8083,4673,9449.375,46053,39395122544783549375526731776,75595
p45.superlink.net,16,16,16,16,268435456,112,196,196,196,196,11112006825558016,1372,234,786,2779,7071,8270242194401563508736,19453
p8.superlink.net,20,20,20,20,25600000000,160,206,206,206,206,3242931408352296960,1648,7096,5866,4551,14298,188632148471771523127967744,36408
pandora.ess.sunysb.edu,14,14,14,14,1475789056,112,233,233,233,233,8686550888106660864,1864,1173,8083,14668.125,49553,442579989337469994456770936832,117345
panther1454.eiu.edu,11,11,11,11,121,22,237,237,237,237,56169,474,1204,1204,995,1204,946344,1990
papm014.olympus.net,21,21,21,21,37822859361,168,228,228,228,228,7302621240492097536,1824,8089,4209,9581.875,36902,1508735464033916120974009303040,76655
parakeet.gcatt.gatech.edu,15,15,15,15,759375,75,198,198,198,198,304316815968,990,1713,1713,15649.2,58176,2249067522366766080,78246
parrotfish.earthlink.net,15,15,15,15,11390625,90,242,242,242,242,200859416110144,1452,363,786,2501.166667,7089,1857368950697732352,15007
paulh.des.sdl.usu.edu,6,6,6,6,46656,36,200,200,200,200,64000000000000,1200,786,4324,11704.666667,46573,8926197958986447192064,70228
pauline.sdsc.edu,20,20,20,20,8000,60,187,187,187,187,6539203,561,1687,4464,4406,7067,53219937456,13218
pc-933.business.utah.edu,18,18,18,18,104976,72,235,235,235,235,3049800625,940,1204,3260,5946.5,18149,83559301276080,23786
pc-tech3.ccs.csus.edu,13,13,13,13,10604499373,117,206,206,206,206,668043870120573140992,1854,234,1414,6309,25218,1429398721130542790483569016832,56781
pc008051.cedarville.edu,20,20,20,20,160000,80,233,233,233,233,2947295521,932,509,527,4808.25,17688,2415043231656,19233
pc0123.metrolink.net,21,21,21,21,1801088541,147,220,220,220,220,24943578880000000,1540,669,786,2321.857143,7131,2249521396086942728192,16253
pc10940.pc.cc.cmu.edu,12,12,12,12,429981696,96,182,182,182,182,1203846470694789376,1456,3985,6923,9893,40310,264440475651518019258099433472,79144
pc13.acrs-tccw.wku.edu,9,9,9,9,59049,45,237,237,237,237,747724704957,1185,1204,8677,25803.2,106496,10365260249047302144,129016
pc14.rich.albany.edu,12,12,12,12,20736,48,184,184,184,184,1146228736,736,1204,3985,11571.25,40310,152016299660400,46285
pc24.ite.usu.edu,23,23,23,23,1801152661463,207,239,239,239,239,2544374934440440233984,2151,44877,4209,8692.666667,44877,21302312584951976244881616011264,78234
pc3.bu128.sc.maricopa.edu,18,18,18,18,104976,72,187,187,187,187,1222830961,748,3985,3985,11571.25,40310,152016299660400,46285
pc5107.pc.cc.cmu.edu,12,12,12,12,5159780352,108,188,188,188,188,293373338741051752448,1692,786,5052,11296.888889,62365,1328333378240068511432891518943232,101672
pclab5.laucd.georgetown.edu,14,14,14,14,105413504,98,183,183,183,183,6873178582377927,1281,1204,4538,24041.714286,75830,2178191181009431773061316608,168292
perseus.phys.unm.edu,17,17,18.125,20,11358856000,145,185,185,191.375,202,1786128706026425088,1531,7634,3985,10610,40310,30024681814856862580976123904,84880
phfloyd.nexus.olemiss.edu,2,2,2,2,128,14,192,192,192,192,9618527719784448,1344,509,515,5747.428571,20484,0,40232
philm.pop.upenn.edu,10,10,10,10,1000000,60,237,237,237,237,177210755074809,1422,786,786,2501.166667,7089,1857368950697732352,15007
pirate.underground.net,5,5,5,5,625,20,188,188,188,188,1249198336,752,4209,12859,9704.25,18114,3563730883341090,38817
pirates.armstrong.edu,17,17,17,17,17,17,237,237,237,237,237,237,17688,17688,17688,17688,17688,17688
plant46.mit.edu,6,6,6,6,36,12,208,208,208,208,43264,416,891,1204,1047.5,1204,1072764,2095
pm002-29.dialip.mich.net,18,18,18,18,198359290368,162,197,197,197,197,446885265417950461952,1773,1204,1204,7445.888889,46573,441201524057723128443641528320,67013
pm008-07.dialip.mich.net,15,15,15,15,11390625,90,185,185,185,185,40089475140625,1110,3985,12054,11798.333333,40310,22815268132001555677184,70790
pm014-10.dialip.mich.net,13,13,13,13,10604499373,117,182,182,182,182,219100057666451668992,1638,7634,7634,26481.666667,131072,598796982737991166660770269753245696,238335
pm014-15.dialip.mich.net,9,9,9,9,43046721,72,232,232,232,232,8392742123471896576,1856,4441,4441,6893.625,25218,988553466627309394246762496,55149
pm022-19.dialip.mich.net,12,12,12,12,1728,36,234,234,234,234,12812904,702,3714,3714,6164.666667,13994,40851340776,18494
pm035-25.dialip.mich.net,21,21,21,21,9261,63,239,239,239,239,13651919,717,13982,7318,8041,13982,288850139148,24123
pm046-23.dialip.mich.net,17,17,17,17,118587876497,153,216,216,216,216,1023490369077469249536,1944,76048,5866,43765.555556,294233,356995024408473144394408618098688,393890
