name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
31.dn258-lab.marist.edu,902436039641232310272,1917,3539.111111,104786094911790203274457513984,31852,9,9,9,9,9
310-1.che.orst.edu,28296722014797824,1568,11903.857143,208862562886804661329723392,83327,7,7,7,7,7
312747mc.bio.fsu.edu,9218120615459689058009088,2046,5179.272727,22663331948398407460181521089484029952,56972,11,11,11,11,11
32.238.med.umich.edu,12325652778639244155078076623314944024720622722482176,4232,13082.478261,120069439066063418614027299582587582049216853568504296598804115599084890262228653047808,300897,23,23,23,23,23
378x1.phy.ohiou.edu,1196883216,744,11571.25,152016299660400,46285,4,4,4,4,4
38.dy303-lab.marist.edu,16099760585865132957089988618348317055152353706248746079092736,5876,10384.730769,503745050338556932835425191497136725052807319589102034788891767743645084598603465901196967936,270003,26,26,26,26,26
39.141.med.umich.edu,363294289954110647042048,2270,53407.7,28600976246792669379784569696255213568,534077,10,10,10,10,10
3dwave.stanford.edu,2883821021683985920,1624,16900.75,61270767728947412657397150253056,135206,8,8,8,8,8
403cc-mac-17.cl.msu.edu,32408401896072997287703108625856630032957440,3705,15626.578947,5039215740604597495135812806345854303246369940359894399146897965056,296905,19,19,19,19,19
42.86.med.umich.edu,1146228736,736,11571.25,152016299660400,46285,4,4,4,4,4
42.pubpol.duke.edu,503756397099,1095,3949.6,1243747264302840,19748,5,5,5,5,5
47.113.med.umich.edu,101559956668416,1296,2492,1842958555396790784,14952,6,6,6,6,6
47.233.med.umich.edu,2176782336,864,19240.25,618683100715890,76961,4,4,4,4,4
500cc-pc-15.cl.msu.edu,9618527719784448,1344,5348,0,37436,7,7,7,7,7
500cc-pc-6.cl.msu.edu,64955112242392,1203,98475.666667,0,590854,6,6,6,6,6
52.28.med.umich.edu,845633575667902590313856833127633695950751650406416886339483208637938406631931904,8160,6624.470588,0,225232,34,34,34,34,34
53.138.med.umich.edu,9999999,28563,9041.606897,0,1311033,145,145,145,145,145
62.165.med.umich.edu,68078861925529707085824,1920,34076.2,225746462593298486261892493978107904,340762,10,10,10,10,10
65.73.med.umich.edu,21936950640377856,1512,2308,2218922100697736413184,16156,7,7,7,7,7
66.28.med.umich.edu,23155135014761874318691387036204763696371886618312704,5280,4654.727273,0,102404,22,22,22,22,22
68.76.med.umich.edu,2472973441,892,5630,97330042903464,22520,4,4,4,4,4
71.178.med.umich.edu,60254729561664,1188,2498.166667,1852652821326515200,14989,6,6,6,6,6
75.53.med.umich.edu,8818303738215711850467353079441239226503802017583319337100622443903505299537635268605983203141595178826855179465356348922294712093638656,11887,9769.59322,2591747207962209018382356661900971557299575815652991718520347810463690813977547634515583382233168367493959912239260774759030759094793391188547231555560948094272883666272227801349650694474253954748792585534308352,576406,59,59,59,59,59
75207.bus.orst.edu,3622658630375525629392276035937062460438113528180059164419526357549021663908261394577868524742203852508782729317700491039814889654701776615474016112786526298713637339803539587727360,15247,21880.316456,9999999,1728545,79,79,79,79,79
75223.bus.orst.edu,52289689788971833360384,1870,11312.6,2392253086839793232835604715914919936,113126,10,10,10,10,10
75232.bus.orst.edu,453024698706253965686306125883204937152300272998514060951552,5122,8721.576923,165058988633333059103386704221457799016766462114878629473633140710104964094201472948895744,226761,26,26,26,26,26
75238.bus.orst.edu,1013738276384121994004302820383817465856,3349,10602.411765,518262810991581174504888430248254090303990430365177924812800,180241,17,17,17,17,17
75242.bus.orst.edu,11033013847707291677029108830699520,2790,75879.133333,1004768068343941986282536182592549321618414882863751228293120,1138187,15,15,15,15,15
76.52.med.umich.edu,155274887960803007295367868841984,2790,27237.928571,53211686208341990459527157594923090497013529089933312,381331,14,14,14,14,14
77236.bus.orst.edu,35344,376,26286,462611475,52572,2,2,2,2,2
78.136.med.umich.edu,13893934183536348105343256211473425321266931477446805346592040173774868452989381374154096599273088667250935275589658979570795193303040,12393,7632.982456,1270755381438668233342427896972754037664993608360310382507021324873510392201545423598830572958768016393566555612849231121671170717608110289290694629891552862172820336050594303054186399363209953695236096,435080,57,57,57,57,57
79.129.med.umich.edu,379200645287636041728,1747,8611,0,77499,9,9,9,9,9
916wm01.east-tenn-st.edu,1632240801,804,44380.75,3305901611234099200,177523,4,4,4,4,4
95.120.med.umich.edu,1146228736,736,11571.25,152016299660400,46285,4,4,4,4,4
a&s26.uwyo.edu,767520516407135473447680868352,2587,27751.692308,94533725188884403141053690678956246718624027302166528,360772,13,13,13,13,13
a-204-01.sp.neu.edu,8000000,600,52317.333333,124436831591100,156952,3,3,3,3,3
a-206-03.sp.neu.edu,186,186,305722,305722,305722,1,1,1,1,1
a-206-04.sp.neu.edu,551473077343,1115,4687.4,220265805982666752,23437,5,5,5,5,5
a-206-06.sp.neu.edu,1698181681,812,5630.25,97341259918896,22521,4,4,4,4,4
a-206-08.sp.neu.edu,2684711598624118727473997439089813387047383354665752723305126642396047753254569695406375043072,7790,4590.536585,8636419995768926424986186132642384002718628324679712054229989170430635434271602617569659405576013628091060369266113192776435319924640972800,188212,41,41,41,41,41
a-206-15.sp.neu.edu,38806720086016,1104,9650.666667,4624562339955861880832,57904,6,6,6,6,6
a-206-23.sp.neu.edu,1495315559180183552,1496,9482.5,127053978346074423579157463040,75860,8,8,8,8,8
a-206-25.sp.neu.edu,38025,390,1047.5,1072764,2095,2,2,2,2,2
a-206-30.sp.neu.edu,2947295521,932,6025.75,556115693189220,24103,4,4,4,4,4
a-206-33.sp.neu.edu,1146228736,736,11571.25,152016299660400,46285,4,4,4,4,4
a-206-35.sp.neu.edu,56644,476,6628,34918380,13256,2,2,2,2,2
a-206-37.sp.neu.edu,1023490369077469249536,1944,6309,1429398721130543071958545727488,56781,9,9,9,9,9
a-206-38.sp.neu.edu,7681515888084539768323079293127098368,3236,8348,2909244582156587249668117642923137493544311126762792681472,133568,16,16,16,16,16
a-206-43.sp.neu.edu,4174410821227264366328350127657487503387610365168713728,4530,11112.25,767268163419032760925041870182365270556878560110502588900519469021422499913764259758080,266694,24,24,24,24,24
a-206-51.sp.neu.edu,8923159940199142821724160,2040,11827.818182,1309972458420525519007345486146163441664,130106,11,11,11,11,11
a-206-55.sp.neu.edu,7044595136617487655081336635392,3068,995.461538,0,12941,13,13,13,13,13
a-206-57.sp.neu.edu,25464305835922481186078720,2244,10827,0,119097,11,11,11,11,11
a-246.biochem.okstate.edu,8615125,615,10320.333333,25872363315,30961,3,3,3,3,3
a-mccarter.tamu.edu,380808395554421170716494952909946435680600064,4218,6679,2090045738197408661050308236349467879886662651459243655129890553856,126901,19,19,19,19,19
a-sen.tamu.edu,46120495849834073271724361834547943445337074481393844517530343261863634268473047812111042095020850801027578537687208115541561429107688573070020920379503906980399764202231693312,16491,17858.08,341263346485522349462300709875884099502520278064345531692095673082352458207778896449944161431987639792491426169070700260822359657106201322606853437266632662163920240576012898394656465798532649741513407990619668953988581003009756637053106240273358743515815775845503674205637443584,1339356,75,75,75,75,75
a.wscc.edu,221,221,8083,8083,8083,1,1,1,1,1
a01-03b-004.calumet.purdue.edu,79496153175699230818304,1950,3159.6,373048561694179899984901386010624,31596,10,10,10,10,10
a01sysmm.ais.ucla.edu,2655237841,908,5630,97330042903464,22520,4,4,4,4,4
a021.cob.ohio-state.edu,54756,468,6476.5,41572342,12953,2,2,2,2,2
a0tasm01.remote.louisville.edu,6306757703256893475253519384576,3042,6915.076923,94162550438821850634546313234111164995076096,89896,13,13,13,13,13
a102.ucs.usl.edu,3901320481649712506491676852196415550224789929984,4326,16537.190476,1836090794419419153346578010238460613032888401694982450627713759881789028320673792,347281,21,21,21,21,21
a10404.hcc.hawaii.edu,43005107648088511869177461545327696427260275983334244352,4992,97546.291667,14669791348062170036193361751729783987903470351411341567612107595999932287718913056582104252416,2341111,24,24,24,24,24
a110.ucs.usl.edu,289400413750632040853984994495619712615075282944,3822,29978.095238,906457072251856705790347347406976010899724743384655520205713490342338707576586240,629540,21,21,21,21,21
a13.indyrad.iupui.edu,46958831761893059723264,1850,33616.5,6498374923561455391336433553768448,336165,10,10,10,10,10
a219.indyrad.iupui.edu,1432529432742502656,1488,50932.5,69755546004799648421160801009664,407460,8,8,8,8,8
a220.lib.neoucom.edu,39601,398,22819.5,358918460,45639,2,2,2,2,2
a324n-1.cse.ucla.edu,1330863361,764,13687,194971674300648,54748,4,4,4,4,4
a4216letnum.hip.berkeley.edu,1312829457431141689392906624282333837831201719754225462090793516931067959275925287512476014516854852911083736494769308354773016849114618796131579249018850820872409626705920,14344,18108.946667,13328378066226088907550656764107757794022100514381881602901735732257853622199694833313117960410691420564488679845299657136608746007582192742222507611475771048035849507272368040243593103588861294318285057194979987488930642988870393014150198014632088586327755617793016506780173205504,1358171,75,75,75,75,75
a6r211.cba.uc.edu,152168114316902400000000000,2640,6738.454545,1778315766400422071933677542304234078208,74123,11,11,11,11,11
a87.ucs.usl.edu,6751269,567,5674,143796091464,17022,3,3,3,3,3
a96.ucs.usl.edu,714209495693373307572654253643578182317427916800,3990,7437.761905,8979125518242096792230030051318045673143629228666216872434024252862120329216,156193,21,21,21,21,21
a98.ucs.usl.edu,205,205,84905,84905,84905,1,1,1,1,1
a_martin.uncg.edu,15805117068696307683169698804235317121437786125107200,4278,43314.869565,27147836583217072324018363844432104942061506567244908105623202314092987605959442285884675719168,996242,23,23,23,23,23
aa-ref-1.mit.edu,1330863361,764,15104,7077823723229625,60416,4,4,4,4,4
aa27.bc.edu,13253805034899088625037535674934231040,3344,8964.1875,243962715445505025761314532765506942573225773677422837760,143427,16,16,16,16,16
aaepc4.ecn.purdue.edu,571782013546869538218638981740888064,3630,2502.466667,331013978307488156023834502540040682385516265472,37537,15,15,15,15,15
aal44.ccs.itd.umich.edu,418126132225426455343947565516973932544,3179,7764.823529,4698531401003503431859092155834285550143792267347223379968,132002,17,17,17,17,17
aal54.ccs.itd.umich.edu,41407371740736,1116,11135.833333,15634645507312956997632,66815,6,6,6,6,6
aalncc14.lib.unc.edu,9045346600690111997669972951723627472726285127409845621520101995992516729939775704949275415387063943151204554037081931776,10167,12087.188679,0,640621,53,53,53,53,53
aardvark.u.washington.edu,1320859596446125220014587904,2184,7067.75,616066151500628644652796010893632132349952,84813,12,12,12,12,12
aaron.cmr.fsu.edu,4016497113423136700545904521759060641464444780544,4347,9068.761905,3651519028182488204287257186271805073228948036466597278165283996799336448,190444,21,21,21,21,21
abacus.aoc.nrao.edu,2058346161,852,3305.5,14599494937440,13222,4,4,4,4,4
abacus.bates.edu,7189057,579,19616,3458420985618,58848,3,3,3,3,3
abacus.cit.cornell.edu,492219227058666265903104,2340,9628.3,4143863764898602627240366266854146048,96283,10,10,10,10,10
abacus.mc.duke.edu,7302621240492097536,1824,9440.125,39150350162893200666199588864,75521,8,8,8,8,8
abbey.esri.sc.edu,1196883216,744,3305.5,14599494937440,13222,4,4,4,4,4
abbie.lib.muohio.edu,136821750708889,1362,2508.166667,1868373252563906048,15049,6,6,6,6,6
abbot.ucsd.edu,1664966416,808,9704.25,3563730883341090,38817,4,4,4,4,4
abbott.bsn.usf.edu,320000000000,1000,3949.6,1243747264302840,19748,5,5,5,5,5
abc.ksu.ksu.edu,36520347436056576000000000000,2880,7827,9834368728719881447279318696637717528182784,93924,12,12,12,12,12
abergsma.extern.ucsd.edu,1330863361,764,15104,7077823723229625,60416,4,4,4,4,4
abllab1.surgery.emory.edu,277921878692682180591616,2210,10710.9,2704903446836983114804719572003848192,107109,10,10,10,10,10
ablochberger.gtri.gatech.edu,3315080142062807853028323620951082663444046009223767911280771196939701135406936814520640896079214830794785694349192775025879902944397699327856641680098934842278639333815919075523924993779035204509635065160132560787602372556760015607693312,23729,10593.34,0,1059334,100,100,100,100,100
abm.cvm.okstate.edu,222620278176,930,9899.8,488580387108525568,49499,5,5,5,5,5
abram-jimmy.evermann.indiana.edu,512000000000000000000,1800,10328.333333,36530672455502350299275812006789120,92955,9,9,9,9,9
abrams-lr-kfps-dynamic-87.stanford.edu,278434028745203923131272790517190415726301670089610907253460086387732284372859743653766144178664208516536468919604703133839287254370401495059533667422768105114648591738387924228343758051887584710723462450704255647202203431600128,22464,10389.71875,9999999,997413,96,96,96,96,96
abritt.async.csuohio.edu,2998219536,936,8266,0,33064,4,4,4,4,4
ac-fpd-t7.sfsu.edu,95717097469130813979908161131629947649997668352,4468,5559.45,692967246930341306897541496450998173731853758675391270329231726237188096,111189,20,20,20,20,20
ac-pc17.sfsu.edu,293373338741051752448,1692,3572.333333,657053786299038712860493479936,32151,9,9,9,9,9
ac-pc27.sfsu.edu,1309714905285888311296,1998,52564.444444,241994211699956410210486970473074655232,473080,9,9,9,9,9
ac1.chemistry.drexel.edu,602738989907,1135,39763,8555353665772682240,198815,5,5,5,5,5
ac10.eng.iastate.edu,812990017201,1205,61937,240216797220292689920,309685,5,5,5,5,5
ac16.eng.iastate.edu,29849979392446980322093957120,2832,1250.583333,0,15007,12,12,12,12,12
ac18.eng.iastate.edu,1849255615689043339914007845570178506232430592,4584,14171.947368,61738953749577787289408269397573727306414161414660504126280957952,269267,19,19,19,19,19
ac21.eng.iastate.edu,12358664279161400,1393,13827.571429,0,96793,7,7,7,7,7
ac4.eng.iastate.edu,3373402561,964,3526,11864684825532,14104,4,4,4,4,4
ac852.wfunet.wfu.edu,122978496247489,1338,2508.166667,1868373252563906048,15049,6,6,6,6,6
acad.drake.edu,125781910651969727991429556245391573315509195468495436704764741698837532876512165888,7347,7733.972222,0,278423,36,36,36,36,36
acad.nwmissouri.edu,82508874580764,1263,87833.5,407447115573817668582506496,527001,6,6,6,6,6
acad.winthrop.edu,590766618024,1132,11461.4,138464061757425909760,57307,5,5,5,5,5
acad1.alaska.edu,2133423721,860,10747,4532053490198784,42988,4,4,4,4,4
acad1.mtsu.edu,9391415,633,8562,280998218688,25686,3,3,3,3,3
acad1.nwmissouri.edu,237,237,49152,49152,49152,1,1,1,1,1
acad145.sl.psu.edu,2166420448571229370802490216225641070592,3502,18457.941176,2126429014680993563035895326963663209782642091995814018037290369024,313785,17,17,17,17,17
acad152.sl.psu.edu,7996339888664083,1309,9038.714286,642068162383173150151016448,63271,7,7,7,7,7
acad162.sl.psu.edu,4565703233437891072,1720,2973.25,0,23786,8,8,8,8,8
acad163.sl.psu.edu,4565703233437891072,1720,2973.25,0,23786,8,8,8,8,8
acad41.jcstate.edu,3486784401,972,3785.25,136522504695060,15141,4,4,4,4,4
academ.wvwc.edu,59049,486,17688,312865344,35376,2,2,2,2,2
academic.csubak.edu,112529355726971185553531188778385801216,3830,7540.0625,151322482369434685801420042247401305302914388223518794842112,120641,16,16,16,16,16
acc-20.tamu.edu,12812904,702,35669.666667,112547962296,107009,3,3,3,3,3
acc-47.tamu.edu,40000,400,43791.5,104000316,87583,2,2,2,2,2
acc-48.tamu.edu,177210755074809,1422,21179.5,74584852635406034796544,127077,6,6,6,6,6
acc-centris-11.tamu.edu,26735591852676062387172445109580670242117282160742684902848004679008256,5797,6238,0,193378,31,31,31,31,31
acc-centris-13.tamu.edu,474248246374774293226114504767698985626343650296515057707312263608467036751867674624,7598,16077.944444,1399343374312756691969642265106242222668065619065675754053852242391266927621242325659316541056474001093065273337686280634368,578806,36,36,36,36,36
acc-centris-14.tamu.edu,2362226417735475200,1584,12422.875,0,99383,8,8,8,8,8
acc-centris-17.tamu.edu,105089527048858597117370311736136183744229540663125392759167344056391958528,6584,9945.6875,132125140767161597446199635346372743431553379313680497737793969379076948011928347702909095470124850092741492736,318262,32,32,32,32,32
acc-centris-6.tamu.edu,14048223625215999973139123347967180800,3360,8177.9375,5178665093958188144829822974135230158381891051610416611328,130847,16,16,16,16,16
acc-centris-8.tamu.edu,7513107889229138393277277358623689819577706923364974592,4642,16893.333333,1826402977369167688448138594554286667798351138091455281388276239636535988967646253996310528,405440,24,24,24,24,24
