name,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
ppp-ftl2-18.shadow.net,18,18,18,18,18,18,199,199,199,199,199,199,3635,3635,3635,3635,3635,3635
ppp-wpb-145.shadow.net,18,18,18,18,18,18,187,187,187,187,187,187,4347,4347,4347,4347,4347,4347
ppp1.accesscom.net,20,20,20,20,20,20,183,183,183,183,183,183,40310,40310,40310,40310,40310,40310
ppp1.waterloo.net,13,13,13,13,13,13,239,239,239,239,239,239,8495,8495,8495,8495,8495,8495
ppp105.dayton.net,17,17,17,17,17,17,197,197,197,197,197,197,41397,41397,41397,41397,41397,41397
ppp11.atlantic.net,20,20,20,20,20,20,202,202,202,202,202,202,527,527,527,527,527,527
ppp11.net99.net,20,20,20,20,20,20,190,190,190,190,190,190,669,669,669,669,669,669
ppp135.iadfw.net,19,19,19,19,19,19,184,184,184,184,184,184,527,527,527,527,527,527
ppp160.iadfw.net,21,21,21,21,21,21,182,182,182,182,182,182,78588,78588,78588,78588,78588,78588
ppp161.iadfw.net,11,11,11,11,11,11,187,187,187,187,187,187,3985,3985,3985,3985,3985,3985
ppp17.jax-inter.net,9,9,9,9,9,9,242,242,242,242,242,242,669,669,669,669,669,669
ppp182.iadfw.net,0,0,0,0,0,0,190,190,190,190,190,190,527,527,527,527,527,527
ppp230.iadfw.net,17,17,17,17,17,17,186,186,186,186,186,186,13469,13469,13469,13469,13469,13469
ppp4.cy-net.net,21,21,21,21,21,21,243,243,243,243,243,243,0,0,0,0,0,0
ppp5.profile.net,19,19,19,19,19,19,183,183,183,183,183,183,47145,47145,47145,47145,47145,47145
ppp82.cinenet.net,20,20,20,20,20,20,187,187,187,187,187,187,12054,12054,12054,12054,12054,12054
pslip082.ksc-fl.ids.net,20,20,18.5,20,340,37,196,202,199,202,39592,398,363,1173,768,1173,425799,1536
pslip224.egr-ri.ids.net,20,20,20,20,20,20,234,234,234,234,234,234,152679,152679,152679,152679,152679,152679
ptp00.pig.net,18,18,18,18,18,18,205,205,205,205,205,205,17459,17459,17459,17459,17459,17459
ptp20.pig.net,19,19,19,19,19,19,228,228,228,228,228,228,234,234,234,234,234,234
ptpm001.olympus.net,9,9,9,9,9,9,195,195,195,195,195,195,12859,12859,12859,12859,12859,12859
pyxis.pdial.interpath.net,9,9,9,9,9,9,231,231,231,231,231,231,1289,1289,1289,1289,1289,1289
qrvlppp14.epix.net,20,20,20,20,20,20,219,219,219,219,219,219,363,363,363,363,363,363
queen.torfree.net,22,22,22,22,22,22,182,182,182,182,182,182,13469,13469,13469,13469,13469,13469
randolph-3.peoples.net,14,14,14,14,14,14,236,236,236,236,236,236,363,363,363,363,363,363
rayncath.igs.net,10,10,10,10,10,10,190,190,190,190,190,190,4179,4179,4179,4179,4179,4179
rhin-cs-1.newnorth.net,8,8,8,8,8,8,229,229,229,229,229,229,5008,5008,5008,5008,5008,5008
rocks.tiac.net,17,17,17,17,17,17,184,184,184,184,184,184,7634,7634,7634,7634,7634,7634
rot56.pi.net,13,13,13,13,13,13,240,240,240,240,240,240,669,669,669,669,669,669
roy.vnet.net,12,12,12,12,12,12,190,190,190,190,190,190,0,0,0,0,0,0
runabout1-11.igc.net,15,15,15,15,15,15,239,239,239,239,239,239,5052,5052,5052,5052,5052,5052
rush.internic.net,22,22,17,23,11132,68,194,194,194,194,1416468496,776,0,752,376,752,0,1504
s17-pm01.sierra.campus.mci.net,13,13,13,13,13,13,242,242,242,242,242,242,9630,9630,9630,9630,9630,9630
